,pdq,PDQS,aic,bic
0,"(1, 1, 1)","(0, 0, 0, 12)",520.9403897911809,537.5043437317786
1,"(1, 1, 2)","(0, 0, 0, 12)",459.49460779926073,481.5798797200577
2,"(1, 1, 3)","(0, 0, 0, 12)",460.4776684181718,488.084258319168
3,"(1, 1, 4)","(0, 0, 0, 12)",545.2754855470967,578.4033934282921
4,"(2, 1, 1)","(0, 0, 0, 12)",452.1155154307072,474.2007873515042
5,"(2, 1, 2)","(0, 0, 0, 12)",262.5705429349474,290.1771328359436
6,"(2, 1, 3)","(0, 0, 0, 12)",261.21311901810117,294.3410268992966
7,"(2, 1, 4)","(0, 0, 0, 12)",113.32721141327761,151.9764372746723
8,"(3, 1, 1)","(0, 0, 0, 12)",453.74612226716954,481.35271216816574
9,"(3, 1, 2)","(0, 0, 0, 12)",455.5072315246466,488.63513940584204
10,"(3, 1, 3)","(0, 0, 0, 12)",264.9210009877669,303.57022684916154
11,"(3, 1, 4)","(0, 0, 0, 12)",428.5864848227149,472.75702866430885
12,"(4, 1, 1)","(0, 0, 0, 12)",225.32730502268166,258.4552129038771
13,"(4, 1, 2)","(0, 0, 0, 12)",440.62177157331746,479.2709974347121
14,"(4, 1, 3)","(0, 0, 0, 12)",243.24360185747537,287.4141456990693
15,"(4, 1, 4)","(0, 0, 0, 12)",268.99155316250807,318.68341498430124
16,"(1, 1, 1)","(0, 0, 0, 24)",520.9403897911809,537.5043437317786
17,"(1, 1, 2)","(0, 0, 0, 24)",459.49460779926073,481.5798797200577
18,"(1, 1, 3)","(0, 0, 0, 24)",460.4776684181718,488.084258319168
19,"(1, 1, 4)","(0, 0, 0, 24)",545.2754855470967,578.4033934282921
20,"(2, 1, 1)","(0, 0, 0, 24)",452.1155154307072,474.2007873515042
21,"(2, 1, 2)","(0, 0, 0, 24)",262.5705429349474,290.1771328359436
22,"(2, 1, 3)","(0, 0, 0, 24)",261.21311901810117,294.3410268992966
23,"(2, 1, 4)","(0, 0, 0, 24)",113.32721141327761,151.9764372746723
24,"(3, 1, 1)","(0, 0, 0, 24)",453.74612226716954,481.35271216816574
25,"(3, 1, 2)","(0, 0, 0, 24)",455.5072315246466,488.63513940584204
26,"(3, 1, 3)","(0, 0, 0, 24)",264.9210009877669,303.57022684916154
27,"(3, 1, 4)","(0, 0, 0, 24)",428.5864848227149,472.75702866430885
28,"(4, 1, 1)","(0, 0, 0, 24)",225.32730502268166,258.4552129038771
29,"(4, 1, 2)","(0, 0, 0, 24)",440.62177157331746,479.2709974347121
30,"(4, 1, 3)","(0, 0, 0, 24)",243.24360185747537,287.4141456990693
31,"(4, 1, 4)","(0, 0, 0, 24)",268.99155316250807,318.68341498430124
32,"(1, 1, 1)","(0, 0, 1, 12)",511.6598566926614,533.7451286134583
33,"(1, 1, 2)","(0, 0, 1, 12)",448.56320761284996,476.16979751384616
34,"(1, 1, 3)","(0, 0, 1, 12)",449.1750045791304,482.30291246032584
35,"(1, 1, 4)","(0, 0, 1, 12)",501.84275573263506,540.4919815940298
36,"(2, 1, 1)","(0, 0, 1, 12)",441.67879266615336,469.28538256714955
37,"(2, 1, 2)","(0, 0, 1, 12)",264.4222818840997,297.5501897652951
38,"(2, 1, 3)","(0, 0, 1, 12)",263.207553934894,301.85677979628866
39,"(2, 1, 4)","(0, 0, 1, 12)",93.29642766702023,137.46697150861414
40,"(3, 1, 1)","(0, 0, 1, 12)",443.5194795401071,476.64738742130254
41,"(3, 1, 2)","(0, 0, 1, 12)",444.9031625899762,483.55238845137086
42,"(3, 1, 3)","(0, 0, 1, 12)",266.9411540119814,311.1116978535753
43,"(3, 1, 4)","(0, 0, 1, 12)",142.39829579247584,192.090157614269
